,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.30193905817174516,436.0,1444.0,,,,,
male_2,0.24615384615384617,320.0,1300.0,,,,,
female_1,0.31737012987012986,391.0,1232.0,,,,,
female_2,0.29948805460750855,351.0,1172.0,,,,,
male,0.2755102040816326,756.0,2744.0,,,,,
female,0.3086522462562396,742.0,2404.0,,,,,
Group 1,0.30904334828101643,827,2676,0.015431071698384702,female,0.14825416384702625,,
Group 2,0.2714401294498382,671,2472,0.05333420845366238,female,0.14906715227496958,,
Total,0.290986790986791,1498,5148,0.03314204217460698,female,0.14866065806099793,"begging (0.6363636363636364), driving (0.5333333333333332), crafting (0.45454545454545453)","strapping (-0.6), sitting (-0.5406162464985995), mopping (-0.5)"
