,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3039164490861619,582.0,1915.0,,
male_2,0.2766210588935158,465.0,1681.0,,
female_1,0.3364720652856246,536.0,1593.0,,
female_2,0.32866666666666666,493.0,1500.0,,
male,0.2911568409343715,1047.0,3596.0,,
female,0.3326867119301649,1029.0,3093.0,,
Group 1,0.3187001140250855,1118,3508,0.032555616199462734,female
Group 2,0.30116315624017603,958,3181,0.05204560777315087,female
Total,0.3103602930183884,2076,6689,0.041529870995793416,female
