,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.30913838120104437,592.0,1915.0,,,,,
male_2,0.2599643069601428,437.0,1681.0,,,,,
female_1,0.327683615819209,522.0,1593.0,,,,,
female_2,0.30666666666666664,460.0,1500.0,,,,,
male,0.2861512791991101,1029.0,3596.0,,,,,
female,0.3174911089557064,982.0,3093.0,,,,,
Group 1,0.31755986316989737,1114,3508,0.018545234618164652,female,0.14036589036591082,,
Group 2,0.28198679660484127,897,3181,0.046702359706523866,female,0.13865551952837565,,
Total,0.30064284646434447,2011,6689,0.03133982975659633,female,0.13951070494714338,"frying (0.41414141414141414), begging (0.4013157894736842), buttoning (0.39855072463768115)","buckling (-0.5666666666666667), shrugging (-0.5384615384615385), strapping (-0.5)"
