,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.13880597014925372,186.0,1340.0,,
male_2,0.12206952303961197,151.0,1237.0,,
female_1,0.1777445855115758,238.0,1339.0,,
female_2,0.10913500404203719,135.0,1237.0,,
male,0.1307722157547536,337.0,2577.0,,
female,0.14479813664596272,373.0,2576.0,,
Group 1,0.15826801045166106,424,2679,0.03893861536232207,female
Group 2,0.11560226354082458,286,2474,0.012934518997574779,male
Total,0.13778381525325054,710,5153,0.014025920891209132,female
