,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.30493273542600896,408.0,1338.0,,,,,
male_2,0.2524271844660194,312.0,1236.0,,,,,
female_1,0.30269058295964124,405.0,1338.0,,,,,
female_2,0.3017799352750809,373.0,1236.0,,,,,
male,0.27972027972027974,720.0,2574.0,,,,,
female,0.30225330225330227,778.0,2574.0,,,,,
Group 1,0.3038116591928251,813,2676,0.0022421524663677195,male,0.12697842834839732,,
Group 2,0.2771035598705502,685,2472,0.049352750809061485,female,0.15567118854657547,,
Total,0.290986790986791,1498,5148,0.02253302253302253,female,0.14132480844748643,"frying (0.5555555555555556), baking (0.4615384615384615), buttoning (0.41666666666666674)","pumping (-0.7777777777777777), sneezing (-0.5454545454545454), typing (-0.5)"
