,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.26119402985074625,350.0,1340.0,,
male_2,0.16248989490703314,201.0,1237.0,,
female_1,0.1777445855115758,238.0,1339.0,,
female_2,0.2651576394502829,328.0,1237.0,,
male,0.21381451299961196,551.0,2577.0,,
female,0.21972049689440995,566.0,2576.0,,
Group 1,0.21948488241881298,588,2679,0.08344944433917045,male
Group 2,0.21382376717865803,529,2474,0.10266774454324978,female
Total,0.2167669318843392,1117,5153,0.005905983894797989,female
