,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.33134328358208953,444.0,1340.0,,
male_2,0.3257881972514147,403.0,1237.0,,
female_1,0.339058999253174,454.0,1339.0,,
female_2,0.32821341956346,406.0,1237.0,,
male,0.3286767559177338,847.0,2577.0,,
female,0.3338509316770186,860.0,2576.0,,
Group 1,0.3351997013811124,898,2679,0.007715715671084478,female
Group 2,0.32700080840743734,809,2474,0.002425222312045283,female
Total,0.3312633417426742,1707,5153,0.005174175759284805,female
