,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.30223880597014924,405.0,1340.0,,
male_2,0.185125303152789,229.0,1237.0,,
female_1,0.18222554144884243,244.0,1339.0,,
female_2,0.32983023443815684,408.0,1237.0,,
male,0.24602250679084206,634.0,2577.0,,
female,0.2531055900621118,652.0,2576.0,,
Group 1,0.24225457260171707,649,2679,0.12001326452130681,male
Group 2,0.2574777687954729,637,2474,0.14470493128536785,female
Total,0.24956336114884534,1286,5153,0.007083083271269747,female
