,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.23582089552238805,316.0,1340.0,,
male_2,0.13500404203718674,167.0,1237.0,,
female_1,0.17923823749066467,240.0,1339.0,,
female_2,0.18916734033953111,234.0,1237.0,,
male,0.18742724097788127,483.0,2577.0,,
female,0.18400621118012422,474.0,2576.0,,
Group 1,0.20754012691302726,556,2679,0.05658265803172338,male
Group 2,0.16208569118835894,401,2474,0.05416329830234437,female
Total,0.18571705802445176,957,5153,0.003421029797757047,male
