,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.30269058295964124,405.0,1338.0,,,,,
male_2,0.2750809061488673,340.0,1236.0,,,,,
female_1,0.3101644245142003,415.0,1338.0,,,,,
female_2,0.2977346278317152,368.0,1236.0,,,,,
male,0.28943278943278944,745.0,2574.0,,,,,
female,0.3041958041958042,783.0,2574.0,,,,,
Group 1,0.3064275037369208,820,2676,0.007473841554559046,female,0.14492980432879804,,
Group 2,0.28640776699029125,708,2472,0.022653721682847905,female,0.1425405428764562,,
Total,0.29681429681429683,1528,5148,0.014763014763014781,female,0.14373517360262705,"baking (0.46153846153846156), lathering (0.4444444444444444), cooking (0.41666666666666674)","buckling (-0.5555555555555556), sneezing (-0.5454545454545454), pumping (-0.4444444444444445)"
