,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2664179104477612,357.0,1340.0,,
male_2,0.17057396928051738,211.0,1237.0,,
female_1,0.19342793129200897,259.0,1339.0,,
female_2,0.28698464025869036,355.0,1237.0,,
male,0.22041133100504462,568.0,2577.0,,
female,0.23835403726708074,614.0,2576.0,,
Group 1,0.22993654348637552,616,2679,0.07298997915575223,male
Group 2,0.22877930476960387,566,2474,0.11641067097817298,female
Total,0.2293809431399185,1182,5153,0.017942706262036118,female
