,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3156716417910448,423.0,1340.0,,
male_2,0.18270008084074374,226.0,1237.0,,
female_1,0.19268110530246452,258.0,1339.0,,
female_2,0.3249797898140663,402.0,1237.0,,
male,0.25184322856034147,649.0,2577.0,,
female,0.2562111801242236,660.0,2576.0,,
Group 1,0.2541993281075028,681,2679,0.12299053648858027,male
Group 2,0.253839935327405,628,2474,0.14227970897332254,female
Total,0.25402678051620414,1309,5153,0.004367951563882144,female
