,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.332089552238806,445.0,1340.0,,
male_2,0.3257881972514147,403.0,1237.0,,
female_1,0.34652725914861837,464.0,1339.0,,
female_2,0.3419563459983832,423.0,1237.0,,
male,0.32906480403570043,848.0,2577.0,,
female,0.34433229813664595,887.0,2576.0,,
Group 1,0.3393057110862262,909,2679,0.014437706909812387,female
Group 2,0.33387227162489896,826,2474,0.01616814874696848,female
Total,0.3366970696681545,1735,5153,0.015267494100945522,female
