,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2619402985074627,351.0,1340.0,,
male_2,0.15602263540824576,193.0,1237.0,,
female_1,0.17625093353248694,236.0,1339.0,,
female_2,0.2667744543249798,330.0,1237.0,,
male,0.21109817617384555,544.0,2577.0,,
female,0.21972049689440995,566.0,2576.0,,
Group 1,0.21911160880925717,587,2679,0.08568936497497576,male
Group 2,0.21139854486661278,523,2474,0.11075181891673405,female
Total,0.21540849990296915,1110,5153,0.008622320720564403,female
