,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.18880597014925374,253.0,1340.0,,
male_2,0.19078415521422798,236.0,1237.0,,
female_1,0.19044062733383121,255.0,1339.0,,
female_2,0.211802748585287,262.0,1237.0,,
male,0.18975552968568102,489.0,2577.0,,
female,0.20069875776397517,517.0,2576.0,,
Group 1,0.18962299365434865,508,2679,0.001634657184577476,female
Group 2,0.20129345189975748,498,2474,0.02101859337105902,female
Total,0.1952260818940423,1006,5153,0.010943228078294148,female
