,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.19925373134328359,267.0,1340.0,,
male_2,0.3112368633791431,385.0,1237.0,,
female_1,0.31142643764002986,417.0,1339.0,,
female_2,0.17623282134195634,218.0,1237.0,,
male,0.25300737291424136,652.0,2577.0,,
female,0.24650621118012422,635.0,2576.0,,
Group 1,0.2553191489361702,684,2679,0.11217270629674628,female
Group 2,0.2437348423605497,603,2474,0.13500404203718674,male
Total,0.24975742286046962,1287,5153,0.0065011617341171335,male
