,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.32686567164179103,438.0,1340.0,,,,,
male_2,0.2877930476960388,356.0,1237.0,,,,,
female_1,0.321882001493652,431.0,1339.0,,,,,
female_2,0.2772837510105093,343.0,1237.0,,,,,
male,0.3081102056655025,794.0,2577.0,,,,,
female,0.3004658385093168,774.0,2576.0,,,,,
Group 1,0.324374766703994,869,2679,0.004983670148139052,male,0.09972881603260858,,
Group 2,0.2825383993532741,699,2474,0.010509296685529523,male,0.12845449089953725,,
Total,0.30428876382689696,1568,5153,0.007644367156185716,male,0.11409165346607292,"rocking (0.49999999999999994), wrinkling (0.4), writing (0.4)","weighing (-0.5), climbing (-0.4545454545454546), potting (-0.375)"
