,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.21044776119402986,282.0,1340.0,,
male_2,0.30719482619240096,380.0,1237.0,,
female_1,0.32337565347274083,433.0,1339.0,,
female_2,0.17380759902991108,215.0,1237.0,,
male,0.25688785409390763,662.0,2577.0,,
female,0.2515527950310559,648.0,2576.0,,
Group 1,0.26689063083240017,715,2679,0.11292789227871097,female
Group 2,0.24050121261115603,595,2474,0.13338722716248988,male
Total,0.2542208422278284,1310,5153,0.005335059062851755,male
