,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.1761194029850746,236.0,1340.0,,
male_2,0.18916734033953111,234.0,1237.0,,
female_1,0.18222554144884243,244.0,1339.0,,
female_2,0.2085691188358933,258.0,1237.0,,
male,0.18238261544431508,470.0,2577.0,,
female,0.19487577639751552,502.0,2576.0,,
Group 1,0.1791713325867861,480,2679,0.006106138463767813,female
Group 2,0.19886822958771222,492,2474,0.019401778496362182,female
Total,0.18862798369881623,972,5153,0.012493160953200438,female
