,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2558746736292428,490.0,1915.0,,
male_2,0.21237358715050564,357.0,1681.0,,
female_1,0.24795982423101068,395.0,1593.0,,
female_2,0.26866666666666666,403.0,1500.0,,
male,0.23553948832035596,847.0,3596.0,,
female,0.2580019398642095,798.0,3093.0,,
Group 1,0.2522805017103763,885,3508,0.007914849398232143,male
Group 2,0.23891857906318767,760,3181,0.056293079516161026,female
Total,0.24592614740618926,1645,6689,0.02246245154385354,female
