,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2845953002610966,545.0,1915.0,,
male_2,0.22129684711481262,372.0,1681.0,,
female_1,0.31512868801004396,502.0,1593.0,,
female_2,0.26866666666666666,403.0,1500.0,,
male,0.2550055617352614,917.0,3596.0,,
female,0.2925961849337213,905.0,3093.0,,
Group 1,0.29846066134549604,1047,3508,0.03053338774894737,female
Group 2,0.24363407733417164,775,3181,0.04736981955185404,female
Total,0.2723875018687397,1822,6689,0.037590623198459905,female
