,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.26865671641791045,360.0,1340.0,,
male_2,0.12045270816491511,149.0,1237.0,,
female_1,0.14488424197162061,194.0,1339.0,,
female_2,0.2627324171382377,325.0,1237.0,,
male,0.1975164920450136,509.0,2577.0,,
female,0.2014751552795031,519.0,2576.0,,
Group 1,0.20679357969391565,554,2679,0.12377247444628983,male
Group 2,0.1915925626515764,474,2474,0.1422797089733226,female
Total,0.19949543954977683,1028,5153,0.003958663234489512,female
