,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.2790858725761773,403.0,1444.0,,,,,
male_2,0.22692307692307692,295.0,1300.0,,,,,
female_1,0.3027597402597403,373.0,1232.0,,,,,
female_2,0.2593856655290102,304.0,1172.0,,,,,
male,0.2543731778425656,698.0,2744.0,,,,,
female,0.2816139767054909,677.0,2404.0,,,,,
Group 1,0.28998505231689087,776,2676,0.023673867683563,female,0.1505716419959992,,
Group 2,0.24231391585760517,599,2472,0.03246258860593329,female,0.13253935550472767,,
Total,0.2670940170940171,1375,5148,0.027240798862925297,female,0.14155549875036338,"pedaling (0.5), cooking (0.4444444444444445), buttoning (0.4375)","wheeling (-0.5555555555555556), hanging (-0.42500000000000004), drinking (-0.4175438596491228)"
