,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.20298507462686566,272.0,1340.0,,
male_2,0.19240097008892482,238.0,1237.0,,
female_1,0.21956684092606424,294.0,1339.0,,
female_2,0.19320937752627323,239.0,1237.0,,
male,0.1979045401629802,510.0,2577.0,,
female,0.20690993788819875,533.0,2576.0,,
Group 1,0.2112728630085853,566,2679,0.01658176629919858,female
Group 2,0.19280517380759904,477,2474,0.0008084074373484185,female
Total,0.20240636522414127,1043,5153,0.00900539772521855,female
