,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.30809399477806787,590.0,1915.0,,,,,
male_2,0.2540154669839381,427.0,1681.0,,,,,
female_1,0.327683615819209,522.0,1593.0,,,,,
female_2,0.32266666666666666,484.0,1500.0,,,,,
male,0.2828142380422692,1017.0,3596.0,,,,,
female,0.3252505657937278,1006.0,3093.0,,,,,
Group 1,0.3169897377423033,1112,3508,0.019589621041141148,female,0.14586383975918127,,
Group 2,0.2863879283244263,911,3181,0.06865119968272854,female,0.14331116138151212,,
Total,0.30243683659739873,2023,6689,0.04243632775145861,female,0.1445875005703467,"baking (0.558974358974359), buttoning (0.4384057971014493), autographing (0.4)","buckling (-0.6777777777777778), strapping (-0.5), shrugging (-0.46153846153846156)"
