,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3300261096605744,632.0,1915.0,,
male_2,0.27186198691255203,457.0,1681.0,,
female_1,0.3113622096672944,496.0,1593.0,,
female_2,0.3233333333333333,485.0,1500.0,,
male,0.3028364849833148,1089.0,3596.0,,
female,0.3171677982541222,981.0,3093.0,,
Group 1,0.3215507411630559,1128,3508,0.018663899993279998,male
Group 2,0.29613329141779315,942,3181,0.05147134642078127,female
Total,0.3094632979518613,2070,6689,0.014331313270807444,female
