,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.11567164179104478,155.0,1340.0,,
male_2,0.08649959579628133,107.0,1237.0,,
female_1,0.11053024645257654,148.0,1339.0,,
female_2,0.1293451899757478,160.0,1237.0,,
male,0.1016686069072565,262.0,2577.0,,
female,0.11956521739130435,308.0,2576.0,,
Group 1,0.11310190369540873,303,2679,0.005141395338468233,male
Group 2,0.10792239288601455,267,2474,0.042845594179466456,female
Total,0.11061517562584902,570,5153,0.01789661048404785,female
