,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3373368146214099,646.0,1915.0,,
male_2,0.28851873884592505,485.0,1681.0,,
female_1,0.3182674199623352,507.0,1593.0,,
female_2,0.3273333333333333,491.0,1500.0,,
male,0.31451612903225806,1131.0,3596.0,,
female,0.32266408018105397,998.0,3093.0,,
Group 1,0.32867730900798175,1153,3508,0.0190693946590747,male
Group 2,0.3068217541653568,976,3181,0.03881459448740826,female
Total,0.3182837494393781,2129,6689,0.008147951148795907,female
