,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3074626865671642,412.0,1340.0,,
male_2,0.17380759902991108,215.0,1237.0,,
female_1,0.19940253920836445,267.0,1339.0,,
female_2,0.3055780113177041,378.0,1237.0,,
male,0.24330616996507567,627.0,2577.0,,
female,0.25038819875776397,645.0,2576.0,,
Group 1,0.2534527808883912,679,2679,0.10806014735879974,male
Group 2,0.2396928051738076,593,2474,0.13177041228779304,female
Total,0.24684649718610518,1272,5153,0.007082028792688294,female
