,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.13656716417910447,183.0,1340.0,,
male_2,0.2611156022635408,323.0,1237.0,,
female_1,0.26138909634055263,350.0,1339.0,,
female_2,0.12368633791430882,153.0,1237.0,,
male,0.1963523476911137,506.0,2577.0,,
female,0.1952639751552795,503.0,2576.0,,
Group 1,0.19895483389324375,533,2679,0.12482193216144816,female
Group 2,0.19240097008892482,476,2474,0.13742926434923197,male
Total,0.19580826702891518,1009,5153,0.0010883725358342144,male
