,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.21148825065274152,405.0,1915.0,,
male_2,0.39797739440809043,669.0,1681.0,,
female_1,0.44569993722536094,710.0,1593.0,,
female_2,0.19266666666666668,289.0,1500.0,,
male,0.2986651835372636,1074.0,3596.0,,
female,0.3229873908826382,999.0,3093.0,,
Group 1,0.3178449258836944,1115,3508,0.23421168657261943,female
Group 2,0.30116315624017603,958,3181,0.20531072774142375,male
Total,0.3099117954851248,2073,6689,0.024322207345374602,female
