,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2380597014925373,319.0,1340.0,,
male_2,0.19805982215036377,245.0,1237.0,,
female_1,0.23450336071695296,314.0,1339.0,,
female_2,0.20129345189975748,249.0,1237.0,,
male,0.21885913853317812,564.0,2577.0,,
female,0.21855590062111802,563.0,2576.0,,
Group 1,0.23628219484882418,633,2679,0.003556340775584338,male
Group 2,0.19967663702506064,494,2474,0.0032336297493937016,female
Total,0.21870754900058217,1127,5153,0.00030323791206010586,male
