,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.191044776119403,256.0,1340.0,,
male_2,0.17219078415521422,213.0,1237.0,,
female_1,0.21359223300970873,286.0,1339.0,,
female_2,0.16976556184316896,210.0,1237.0,,
male,0.18199456732634847,469.0,2577.0,,
female,0.19254658385093168,496.0,2576.0,,
Group 1,0.202314296379246,542,2679,0.02254745689030574,female
Group 2,0.1709781729991916,423,2474,0.0024252223120452554,male
Total,0.18726955171744614,965,5153,0.010552016524583208,female
