,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2741514360313316,525.0,1915.0,,
male_2,0.22665080309339677,381.0,1681.0,,
female_1,0.25925925925925924,413.0,1593.0,,
female_2,0.2786666666666667,418.0,1500.0,,
male,0.25194660734149055,906.0,3596.0,,
female,0.26867119301648884,831.0,3093.0,,
Group 1,0.26738882554161914,938,3508,0.01489217677207233,male
Group 2,0.251178874567746,799,3181,0.0520158635732699,female
Total,0.25968007175960534,1737,6689,0.016724585674998294,female
