,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.3274151436031332,627.0,1915.0,,
male_2,0.27483640690065436,462.0,1681.0,,
female_1,0.3364720652856246,536.0,1593.0,,
female_2,0.32666666666666666,490.0,1500.0,,
male,0.3028364849833148,1089.0,3596.0,,
female,0.3317167798254122,1026.0,3093.0,,
Group 1,0.3315279361459521,1163,3508,0.009056921682491448,female
Group 2,0.29927695693178247,952,3181,0.0518302597660123,female
Total,0.3161907609508148,2115,6689,0.02888029484209742,female
