,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.11641791044776119,156.0,1340.0,,
male_2,0.0856911883589329,106.0,1237.0,,
female_1,0.11053024645257654,148.0,1339.0,,
female_2,0.1293451899757478,160.0,1237.0,,
male,0.1016686069072565,262.0,2577.0,,
female,0.11956521739130435,308.0,2576.0,,
Group 1,0.11347517730496454,304,2679,0.005887663995184644,male
Group 2,0.10751818916734034,266,2474,0.04365400161681489,female
Total,0.11061517562584902,570,5153,0.01789661048404785,female
