,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2171641791044776,291.0,1340.0,,
male_2,0.1471301535974131,182.0,1237.0,,
female_1,0.15758028379387604,211.0,1339.0,,
female_2,0.23120452708164915,286.0,1237.0,,
male,0.18354675979821497,473.0,2577.0,,
female,0.19293478260869565,497.0,2576.0,,
Group 1,0.1873833519970138,502,2679,0.05958389531060157,male
Group 2,0.18916734033953111,468,2474,0.08407437348423605,female
Total,0.18823986027556763,970,5153,0.009388022810480678,female
