,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.20373134328358208,273.0,1340.0,,
male_2,0.13096200485044462,162.0,1237.0,,
female_1,0.19566840926064227,262.0,1339.0,,
female_2,0.15683104284559418,194.0,1237.0,,
male,0.16880093131548313,435.0,2577.0,,
female,0.17701863354037267,456.0,2576.0,,
Group 1,0.19970138111235536,535,2679,0.00806293402293981,male
Group 2,0.1438965238480194,356,2474,0.025869037995149557,female
Total,0.1729089850572482,891,5153,0.008217702224889545,female
