,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.12761194029850748,171.0,1340.0,,
male_2,0.21746160064672596,269.0,1237.0,,
female_1,0.23300970873786409,312.0,1339.0,,
female_2,0.1059013742926435,131.0,1237.0,,
male,0.17074117190531626,440.0,2577.0,,
female,0.171972049689441,443.0,2576.0,,
Group 1,0.18029115341545351,483,2679,0.10539776843935661,female
Group 2,0.16168148746968472,400,2474,0.11156022635408246,male
Total,0.17135649136425382,883,5153,0.0012308777841247287,female
