,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.16343283582089552,219.0,1340.0,,
male_2,0.3039611964430073,376.0,1237.0,,
female_1,0.2905153099327857,389.0,1339.0,,
female_2,0.15036378334680678,186.0,1237.0,,
male,0.23088863019014358,595.0,2577.0,,
female,0.22321428571428573,575.0,2576.0,,
Group 1,0.22695035460992907,608,2679,0.12708247411189016,female
Group 2,0.22716248989490703,562,2474,0.1535974130962005,male
Total,0.22705220260042694,1170,5153,0.007674344475857853,male
