,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.13656716417910447,183.0,1340.0,,
male_2,0.25788197251414713,319.0,1237.0,,
female_1,0.24719940253920836,331.0,1339.0,,
female_2,0.12772837510105092,158.0,1237.0,,
male,0.19480015521924718,502.0,2577.0,,
female,0.18982919254658384,489.0,2576.0,,
Group 1,0.19186263531168346,514,2679,0.11063223836010389,female
Group 2,0.19280517380759904,477,2474,0.1301535974130962,male
Total,0.19231515621967785,991,5153,0.004970962672663337,male
