,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.23880597014925373,320.0,1340.0,,
male_2,0.12853678253839934,159.0,1237.0,,
female_1,0.12920089619118746,173.0,1339.0,,
female_2,0.2603071948261924,322.0,1237.0,,
male,0.18587504850601475,479.0,2577.0,,
female,0.1921583850931677,495.0,2576.0,,
Group 1,0.18402388951101156,493,2679,0.10960507395806626,male
Group 2,0.19442198868229588,481,2474,0.13177041228779307,female
Total,0.18901610712206482,974,5153,0.006283336587152966,female
