,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.3049608355091384,584.0,1915.0,,,,,
male_2,0.2629387269482451,442.0,1681.0,,,,,
female_1,0.31763967357187695,506.0,1593.0,,,,,
female_2,0.30333333333333334,455.0,1500.0,,,,,
male,0.2853170189098999,1026.0,3596.0,,,,,
female,0.31070158422243777,961.0,3093.0,,,,,
Group 1,0.3107183580387685,1090,3508,0.012678838062738562,female,0.13987959018133253,,
Group 2,0.28198679660484127,897,3181,0.04039460638508824,female,0.13090667665581418,,
Total,0.2970548661982359,1987,6689,0.025384565312537855,female,0.13539313341857345,"buttoning (0.48188405797101447), baking (0.40512820512820513), autographing (0.4)","buckling (-0.47777777777777775), strapping (-0.4), swinging (-0.39473684210526316)"
