,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2171641791044776,291.0,1340.0,,
male_2,0.20371867421180276,252.0,1237.0,,
female_1,0.21135175504107542,283.0,1339.0,,
female_2,0.2223120452708165,275.0,1237.0,,
male,0.21071012805587894,543.0,2577.0,,
female,0.21661490683229814,558.0,2576.0,,
Group 1,0.21425905188503172,574,2679,0.005812424063402183,male
Group 2,0.2130153597413096,527,2474,0.018593371059013736,female
Total,0.21366194449835046,1101,5153,0.005904778776419206,female
