,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.2835820895522388,380.0,1340.0,,
male_2,0.27809215844785773,344.0,1237.0,,
female_1,0.2793129200896191,374.0,1339.0,,
female_2,0.27324171382376716,338.0,1237.0,,
male,0.28094683740783855,724.0,2577.0,,
female,0.27639751552795033,712.0,2576.0,,
Group 1,0.2814483016050765,754,2679,0.004269169462619682,male
Group 2,0.27566693613581245,682,2474,0.004850444624090566,male
Total,0.2786726178924898,1436,5153,0.004549321879888213,male
