,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.1873134328358209,251.0,1340.0,,
male_2,0.20695230396119643,256.0,1237.0,,
female_1,0.18745332337565349,251.0,1339.0,,
female_2,0.21827000808407437,270.0,1237.0,,
male,0.19674039580908032,507.0,2577.0,,
female,0.20225155279503104,521.0,2576.0,,
Group 1,0.1873833519970138,502,2679,0.00013989053983259891,female
Group 2,0.21261115602263542,526,2474,0.011317704122877942,female
Total,0.19949543954977683,1028,5153,0.005511156985950727,female
