,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class,Per Class Accuracy Parity,Male Parity Top 3 Classes,Female Parity Top 3 Classes
male_1,0.32950391644908616,631.0,1915.0,,,,,
male_2,0.2682926829268293,451.0,1681.0,,,,,
female_1,0.3314500941619586,528.0,1593.0,,,,,
female_2,0.32066666666666666,481.0,1500.0,,,,,
male,0.30088987764182423,1082.0,3596.0,,,,,
female,0.32622049789848045,1009.0,3093.0,,,,,
Group 1,0.33038768529076395,1159,3508,0.0019461777128724211,female,0.15577472987513383,,
Group 2,0.29298962590380384,932,3181,0.05237398373983737,female,0.1406764206591297,,
Total,0.31260278068470626,2091,6689,0.025330620256656222,female,0.14822557526713184,"autographing (0.55), operating (0.5263157894736842), lathering (0.5252525252525253)","buckling (-0.5777777777777778), applying (-0.5581395348837209), shrugging (-0.5384615384615384)"
