,accuracy,correct,count,Accuracy Parity,Accuracy Parity Class
male_1,0.26044776119402985,349.0,1340.0,,
male_2,0.1269199676637025,157.0,1237.0,,
female_1,0.13816280806572068,185.0,1339.0,,
female_2,0.2740501212611156,339.0,1237.0,,
male,0.1963523476911137,506.0,2577.0,,
female,0.20341614906832298,524.0,2576.0,,
Group 1,0.19932810750279956,534,2679,0.12228495312830917,male
Group 2,0.20048504446240906,496,2474,0.1471301535974131,female
Total,0.19988356297302542,1030,5153,0.007063801377209272,female
